Date first seen,Proto,Src IP Addr,Dst IP Addr,Dst Pt,In Byte,In Packet,Out Byte,Out Packet,Flags,Duration,pattern_idx
2017-04-05 17:05:36.999547008,TCP,192.168.200.9,14645_180,443.0,63175,1,681,4,.AP.S.,12,1731
2017-04-05 17:05:37.009067826,TCP,192.168.200.9,14645_180,443.0,91,17,1029,6,.AP.S.,0,1731
2017-04-05 17:05:37.010227923,TCP,192.168.200.9,14645_180,443.0,544,4,1101,5,.AP.S.,0,1731
2017-04-05 09:40:26.694014470,UDP,192.168.220.15,DNS,53.0,5159,1,85,1,......,0,489
2017-04-05 09:40:26.694952019,UDP,192.168.220.15,DNS,53.0,6080,1224024,161,523848,......,0,489
2017-04-05 09:40:26.696696618,UDP,192.168.220.15,DNS,53.0,2534,1,168,1,......,0,489
2017-04-05 09:40:26.702403256,UDP,192.168.220.15,DNS,53.0,3321,1,165,2,......,368529,489
2017-04-05 09:40:26.708056858,UDP,192.168.220.15,DNS,53.0,109,2,282,1,......,0,489
2017-04-05 09:40:26.713601855,UDP,192.168.220.15,DNS,53.0,92,311620,202,1141941,......,0,489
2017-04-05 09:49:45.229623635,TCP,192.168.220.5,192.168.100.5,445.0,398,2,0,751528,.AP..F,0,493
2017-04-05 09:49:45.232773361,TCP,192.168.220.5,192.168.100.5,445.0,14537,2,75,1289319,.AP..F,0,493
2017-04-11 14:25:46.172030932,UDP,192.168.200.5,DNS,53.0,92,2,75,1,......,0,7402
2017-04-11 14:25:46.180407412,UDP,192.168.200.5,DNS,53.0,92,1,75,2,......,0,7402
2017-04-05 09:32:54.024319958,UDP,192.168.220.6,192.168.220.255,137.0,0,0,91,1,......,0,472
2017-04-05 09:32:54.039788011,UDP,192.168.220.12,192.168.220.6,138.0,0,0,243,2,......,0,472
2017-04-05 09:32:55.015496930,UDP,192.168.220.4,192.168.220.255,445.0,0,0,2375574149,1,......,0,472
2017-04-05 09:32:55.147689113,UDP,192.168.220.12,192.168.220.255,137.0,0,0,91,1,......,0,472
2017-04-11 09:42:22.567153445,TCP,192.168.200.9,14645_180,443.0,535,5,1106,6,.AP.S.,127632,6915
2017-04-11 09:42:22.567364749,TCP,192.168.200.9,14645_180,443.0,546,5,1113,6,.AP.S.,0,6915
2017-04-11 09:42:22.568895560,TCP,192.168.200.9,14645_180,443.0,543,5,1123,6,.AP.S.,0,6915
2017-04-11 09:42:22.575669018,TCP,192.168.200.9,14645_180,443.0,538,5,1100,7,.AP.S.,0,6915
2017-04-11 09:42:22.620599742,UDP,192.168.200.9,DNS,53.0,92,2,75,1,......,0,6915
2017-04-11 09:42:22.822825307,TCP,192.168.200.9,14645_180,443.0,549,5,1098,7,.AP.S.,249333,6915
2017-04-11 09:42:22.827598042,TCP,192.168.200.9,14645_180,443.0,536,4,1092,7,.AP.S.,422136,6915
2017-04-07 08:32:10.428737364,UDP,192.168.220.13,EXT_SERVER,137.0,0,0,91,1,......,0,3111
2017-04-07 08:32:10.768347039,UDP,192.168.220.15,192.168.220.13,53.0,92,1,74,2,......,0,3111
2017-04-07 08:32:10.787806593,TCP,192.168.100.4,EXT_SERVER,443.0,69,18,177,11,.AP..F,0,3111
2017-04-07 08:32:10.871658031,TCP,192.168.200.9,14645_180,443.0,544,5,1125,7,.AP.S.,128379,3111
2017-04-07 08:32:10.871685492,TCP,192.168.100.4,14645_180,443.0,1787020116,58017,542027628,1099320,.AP.S.,475247,3111
2017-04-07 08:32:11.305572744,UDP,192.168.200.9,192.168.200.255,137.0,0,0,204,2,......,0,3111
2017-04-07 10:49:31.224939895,UDP,192.168.220.13,DNS,53.0,104,1,0,1,......,6,3318
2017-04-07 10:49:31.406413063,UDP,192.168.220.13,192.168.220.13,53.0,119,2,1207,2,......,0,3318
2017-04-07 19:17:52.324676583,TCP,192.168.200.9,14645_180,443.0,2445,0,8026,2,.AP.S.,0,4388
2017-04-07 19:17:52.383319445,TCP,192.168.200.9,14645_180,443.0,536,5,1109,7,.AP.S.,0,4388
2017-04-07 19:17:52.490051942,TCP,192.168.200.9,14645_180,443.0,543,4,1152,7,.AP.S.,0,4388
2017-04-07 19:17:57.824895041,TCP,192.168.200.9,14645_180,443.0,533,4,1149,6,.AP.S.,0,4388
2017-04-07 19:18:03.294204416,TCP,192.168.200.9,14645_180,443.0,531,4,1100,6,.AP.S.,0,4388
2017-04-07 19:18:03.353802129,UDP,192.168.200.9,DNS,53.0,91,2,75,2,......,0,4388
2017-04-06 17:45:01.668872105,UDP,192.168.220.4,DNS,53.0,6530,1,64,1,......,0,2857
2017-04-06 17:45:01.692752531,UDP,192.168.220.4,DNS,53.0,4128,1,69,1,......,0,2857
2017-04-07 11:58:31.755044578,UDP,192.168.100.4,192.168.220.255,137.0,0,0,91,1,......,0,3365
2017-04-07 11:58:31.859028948,UDP,192.168.200.4,192.168.100.4,53.0,0,1,75,1,......,0,3365
2017-04-07 11:58:31.879140637,UDP,192.168.220.13,192.168.220.255,138.0,0,0,75,1,......,0,3365
2017-04-07 13:18:56.592243094,UDP,192.168.200.4,EXT_SERVER,137.0,0,0,91,1,......,0,3528
2017-04-07 13:18:57.377797184,TCP,192.168.200.4,16376_229,443.0,1773,19,1937,5,.AP.S.,0,3528
2017-04-07 13:18:57.422041066,TCP,192.168.200.8,12612_32,443.0,90,22,1877,6,.AP.S.,0,3528
2017-04-07 13:18:57.432798784,UDP,192.168.200.8,10031_250,137.0,0,0,92,1,......,0,3528
2017-04-08 08:31:12.214576045,TCP,192.168.200.9,14645_180,443.0,538,5,1108,7,.AP.S.,5,4558
2017-04-08 08:31:12.273978258,TCP,192.168.200.9,14645_180,443.0,544,4,1096,7,.AP.S.,5,4558
2017-04-08 08:31:12.514019575,TCP,192.168.200.9,14645_180,443.0,537,4,1137,6,.AP.S.,5,4558
2017-04-08 08:31:12.521581503,TCP,192.168.200.9,14645_180,443.0,529,5,1143,7,.AP.S.,0,4558
2017-04-08 08:31:12.535940759,UDP,192.168.200.9,DNS,53.0,91,1,74,1,......,0,4558
2017-04-08 08:31:44.471338024,TCP,192.168.200.9,14645_180,443.0,555,5,1134,5,.AP.S.,0,4558
2017-04-06 11:02:14.714409382,UDP,192.168.200.4,192.168.100.5,445.0,306,946728,235,153627,......,0,2028
2017-04-06 11:02:15.121760006,UDP,192.168.200.4,192.168.100.5,53.0,122,631326,3303,543697,......,46,2028
2017-04-05 17:20:26.000496737,UDP,192.168.220.12,DNS,53.0,7665,2,990,2,......,0,1741
2017-04-05 17:20:26.004896166,UDP,192.168.200.4,DNS,53.0,311,1,249,2,......,0,1741
2017-04-05 17:53:34.064466422,UDP,192.168.220.15,DNS,53.0,33392,2,152,2,......,0,1787
2017-04-05 17:53:34.077277844,UDP,192.168.220.7,DNS,53.0,355,2,598,1,......,0,1787
2017-04-05 17:53:34.078102625,UDP,192.168.220.7,DNS,53.0,5852,2,2117,2,......,0,1787
2017-04-05 17:53:34.087734872,UDP,192.168.220.15,DNS,53.0,6486,1,1979,2,......,0,1787
2017-04-05 17:53:34.502642876,UDP,192.168.220.7,DNS,53.0,15219,1,919184483,2,......,0,1787
2017-04-05 17:53:34.532993788,UDP,192.168.220.7,DNS,53.0,112,1,841,2,......,0,1787
2017-04-05 17:53:36.415304723,UDP,192.168.220.15,DNS,53.0,376,1149930,148,880398,......,175,1787
2017-04-05 17:53:37.139754580,UDP,192.168.220.15,DNS,53.0,5186,1,269,1,......,0,1787
2017-04-07 13:18:54.656669723,UDP,192.168.220.10,EXT_SERVER,137.0,0,0,91,1,......,0,3524
2017-04-07 13:18:55.098396133,TCP,192.168.220.10,12612_250,443.0,90,21,1871,1272523,.AP.S.,0,3524
2017-04-07 13:18:55.186032390,UDP,192.168.220.15,12612_250,53.0,95,2,3127,1,......,0,3524
2017-04-07 13:18:55.248983897,UDP,192.168.220.15,192.168.100.5,445.0,184869969,1310752,2759405746,7960,......,0,3524
2017-04-06 11:22:06.069216585,TCP,192.168.200.9,14645_180,443.0,90,5,1134,3,.AP.S.,0,2073
2017-04-06 11:22:06.076396947,TCP,192.168.200.9,14645_180,443.0,90,5,1142,3,.AP.S.,0,2073
2017-04-10 12:13:05.899055315,UDP,192.168.220.15,DNS,53.0,391,2,2995699562,2,......,0,5948
2017-04-10 12:13:05.911916590,UDP,192.168.220.15,DNS,53.0,1375712875,2,163,1,......,0,5948
2017-04-10 12:13:06.153140682,UDP,192.168.220.8,DNS,53.0,80,2,171,1,......,0,5948
2017-04-10 12:13:06.164307782,UDP,192.168.220.8,DNS,53.0,92,260522,174,1074192,......,0,5948
2017-04-10 12:13:06.165872236,UDP,192.168.220.15,DNS,53.0,1493,2,148,1,......,0,5948
2017-04-10 12:13:06.234752685,UDP,192.168.220.15,DNS,53.0,125,2,1102,2,......,0,5948
2017-04-10 12:13:07.676048700,UDP,192.168.220.8,DNS,53.0,127,1,75,2,......,0,5948
2017-04-10 12:13:07.679121328,UDP,192.168.220.15,DNS,53.0,1710,2,148,1,......,0,5948
2017-04-05 12:45:14.358726615,UDP,192.168.200.4,DNS,53.0,92,2,74,2,......,0,816
2017-04-05 12:45:14.367639283,UDP,192.168.200.4,DNS,53.0,93,2,75,1,......,0,816
2017-04-05 12:45:14.832189092,TCP,192.168.200.4,192.168.210.255,443.0,0,30,1914,6,.AP.S.,0,816
2017-04-05 12:45:15.031884510,UDP,192.168.200.4,DNS,53.0,91,1,75,2,......,0,816
2017-04-05 15:23:47.694742145,UDP,192.168.200.8,DNS,53.0,71,1,72,2,......,0,1502
2017-04-05 15:23:47.703508349,UDP,192.168.200.8,DNS,53.0,67,1,60,1,......,0,1502
2017-04-10 11:28:16.000949376,UDP,192.168.200.5,DNS,53.0,224,2,1649,2,......,0,5781
2017-04-10 11:28:16.011141717,UDP,192.168.200.5,DNS,53.0,704,1,162,1,......,0,5781
2017-04-05 07:39:03.322521490,TCP,192.168.220.15,10433_105,443.0,323,54,2692,12,.APRSF,21,57
2017-04-05 07:39:03.324092742,TCP,192.168.220.15,10199_3,443.0,676,15,78,18,.APRSF,6,57
2017-04-05 14:31:54.880653712,UDP,192.168.220.14,192.168.100.5,138.0,0,0,252,2,......,0,1220
2017-04-05 14:31:54.884415959,UDP,192.168.220.3,16375_60,138.0,0,0,247,1,......,0,1220
2017-04-05 14:31:54.886640396,UDP,192.168.210.5,192.168.220.3,137.0,0,0,92,2,......,0,1220
2017-04-05 14:31:54.888098436,UDP,192.168.200.4,192.168.220.14,137.0,0,0,92,2,......,0,1220
2017-04-05 14:31:54.903516076,UDP,192.168.220.6,192.168.220.255,137.0,0,0,92,2,......,0,1220
2017-04-05 14:31:55.074079717,UDP,192.168.220.15,192.168.220.6,137.0,0,0,204,2,......,0,1220
2017-04-05 14:31:55.089881334,UDP,192.168.220.10,192.168.220.255,138.0,0,0,1141391164,1,......,0,1220
2017-04-07 08:32:12.413712389,UDP,192.168.200.4,192.168.220.255,137.0,0,0,91,2,......,0,3113
2017-04-07 08:32:12.432714528,UDP,192.168.220.6,192.168.220.255,137.0,0,0,92,1,......,0,3113
2017-04-07 08:32:13.155461955,UDP,192.168.200.4,192.168.100.255,137.0,0,0,92,2,......,0,3113
2017-04-05 14:31:59.289292621,UDP,192.168.220.3,DNS,53.0,187,2,74,2,......,0,1225
2017-04-05 14:31:59.356140073,TCP,192.168.200.9,14645_180,443.0,538,4,1113,7,.AP.S.,0,1225
2017-04-05 14:32:08.289884969,UDP,192.168.220.3,DNS,53.0,173,1,75,2,......,0,1225
2017-04-05 14:32:08.760933435,TCP,192.168.200.9,14645_180,443.0,535,5,1128,6,.AP.S.,0,1225
2017-04-05 14:32:09.034333763,TCP,192.168.200.9,14645_180,443.0,539,4,1137,6,.AP.S.,0,1225
2017-04-05 14:32:09.155458592,TCP,192.168.200.9,14645_180,443.0,553,4,1094,7,.AP.S.,0,1225
2017-04-07 12:24:22.116360012,TCP,192.168.200.9,14645_180,443.0,545,4,1115,5,.AP.S.,6,3458
2017-04-07 12:24:22.523589026,TCP,192.168.200.9,14645_180,443.0,295,4,1119,6,.AP.S.,0,3458
2017-04-07 13:08:00.770112719,UDP,192.168.220.5,192.168.220.255,138.0,0,0,251,1,......,0,3521
2017-04-07 13:08:00.836938525,UDP,192.168.200.9,192.168.220.5,138.0,0,0,238,2,......,0,3521
2017-04-07 13:08:00.855149976,UDP,192.168.210.4,192.168.220.255,1900.0,0,0,505,1,......,0,3521
2017-04-07 13:08:02.619095530,UDP,192.168.200.9,192.168.200.255,137.0,0,0,91,2,......,0,3521
2017-04-05 11:07:26.202460045,UDP,192.168.220.15,192.168.220.15,53.0,137,0,225,1,......,0,625
2017-04-05 11:07:26.219921746,UDP,192.168.220.15,DNS,53.0,417,1,763,2,......,0,625
2017-04-05 11:07:26.230178349,UDP,192.168.220.15,DNS,53.0,53127,1,445,2,......,0,625
2017-04-05 11:07:26.239767833,UDP,192.168.220.15,192.168.220.15,53.0,4388,0,488,1,......,0,625
2017-04-05 14:57:42.445966192,UDP,192.168.220.15,DNS,53.0,7588,1,150,2,......,5,1423
2017-04-05 14:57:42.657787516,UDP,192.168.220.15,DNS,53.0,21383,2,2377,2,......,5,1423
2017-04-05 14:57:43.007201116,UDP,192.168.100.6,DNS,53.0,13829,2,109,2,......,7,1423
2017-04-05 14:57:43.021289917,UDP,192.168.100.6,DNS,53.0,45047,1,161,1,......,5,1423
2017-04-05 14:57:43.747341710,UDP,192.168.220.14,DNS,53.0,4823,1471444,151,6718,......,122,1423
2017-04-10 16:15:54.472178024,UDP,192.168.220.6,192.168.220.6,53.0,244,2,155,2,......,0,6255
2017-04-10 16:15:54.476590559,UDP,192.168.220.6,DNS,53.0,5228,1,204,2,......,0,6255
2017-04-10 16:15:57.147695076,UDP,192.168.220.7,DNS,53.0,3860,1,92,2,......,0,6255
2017-04-10 16:15:57.163922906,UDP,192.168.200.4,DNS,53.0,93,2,893,1,......,0,6255
2017-04-05 16:06:54.118182640,UDP,192.168.220.4,192.168.220.255,137.0,0,0,92,1,......,0,1630
2017-04-05 16:06:54.139022940,UDP,192.168.220.15,192.168.220.4,53.0,91,1,74,2,......,0,1630
2017-04-05 16:06:54.387505191,TCP,192.168.220.15,DNS,443.0,67,3,1899,12,.AP.S.,61,1630
2017-04-05 16:07:04.083540143,UDP,192.168.220.5,192.168.220.255,138.0,0,0,91,2,......,0,1630
2017-04-05 16:07:04.236404620,UDP,192.168.220.5,DNS,53.0,78,1,63,1,......,20,1630
2017-04-11 11:04:01.721720551,UDP,192.168.220.4,192.168.220.255,137.0,0,0,92,2,......,0,7053
2017-04-11 11:04:12.139400550,UDP,192.168.220.9,192.168.220.4,137.0,0,0,92,2,......,0,7053
2017-04-11 11:04:14.448423779,UDP,192.168.220.4,192.168.220.255,137.0,0,0,91,1,......,0,7053
2017-04-05 09:32:47.790562738,UDP,192.168.210.5,192.168.220.5,137.0,0,0,91,1,......,0,469
2017-04-05 09:32:47.800714170,UDP,192.168.220.5,192.168.100.5,138.0,0,0,506,2,......,510940,469
2017-04-07 01:56:46.014300207,UDP,192.168.220.15,DNS,53.0,263,1,150,2,......,171589,2931
2017-04-07 01:56:56.432227912,UDP,192.168.220.15,DNS,53.0,702,1,444,1,......,4,2931
2017-04-07 01:56:56.445094489,UDP,192.168.220.15,DNS,53.0,120,1176946,268,277182,......,0,2931
2017-04-07 01:56:56.449157167,UDP,192.168.220.15,DNS,53.0,809,1279941,9568,1047936,......,131,2931
2017-04-07 01:57:10.548871648,UDP,192.168.220.4,DNS,53.0,477301080,2,262,1,......,172,2931
2017-04-07 01:57:10.883412157,UDP,192.168.220.4,192.168.100.5,445.0,644,901641,2730,1283724,......,5,2931
2017-04-07 01:57:11.670021217,UDP,192.168.220.15,192.168.100.5,53.0,392,711381,8807,846754,......,4,2931
2017-04-07 01:57:21.877144010,UDP,192.168.220.15,192.168.100.5,445.0,392,1052082,89,1089829,......,5,2931
2017-04-07 01:57:21.892926892,UDP,192.168.220.15,192.168.100.5,53.0,210,446374,74,2,......,0,2931
2017-04-07 07:04:29.590445971,UDP,192.168.220.16,192.168.100.255,138.0,0,0,248,1,......,0,2953
2017-04-07 07:04:30.402040523,UDP,192.168.220.11,192.168.220.16,53.0,2769,1,75,2,......,0,2953
2017-04-07 07:05:02.478091616,UDP,192.168.220.16,192.168.200.255,138.0,0,0,234,1,......,0,2953
2017-04-07 11:58:12.793747764,TCP,192.168.200.9,14645_180,443.0,545,4,1153,6,.AP.S.,0,3366
2017-04-07 11:58:12.802869609,TCP,192.168.200.9,14645_180,443.0,548,4,1117,6,.AP.S.,0,3366
2017-04-07 11:58:12.813827358,TCP,192.168.200.9,14645_180,443.0,546,5,1092,7,.AP.S.,5,3366
2017-04-07 11:58:12.826910624,TCP,192.168.200.9,14645_180,443.0,553,5,1154,7,.AP.S.,5,3366
2017-04-07 11:58:12.839469788,TCP,192.168.200.9,14645_180,443.0,541,4,1128,6,.AP.S.,0,3366
2017-04-07 11:58:12.843212180,TCP,192.168.200.9,14645_180,443.0,542,5,1136,6,.AP.S.,5,3366
2017-04-07 11:58:13.164787316,TCP,192.168.200.9,14645_180,443.0,538,5,1111,7,.AP.S.,0,3366
2017-04-07 11:58:13.292701083,TCP,192.168.200.9,14645_180,443.0,540,4,1114,6,.AP.S.,0,3366
2017-04-07 11:58:13.325640472,TCP,192.168.200.9,14645_180,443.0,554,4,1120,6,.AP.S.,0,3366
2017-04-07 14:58:12.389402682,UDP,192.168.220.9,DNS,53.0,2328,2,69,1,......,0,3915
2017-04-07 14:58:12.396119089,UDP,192.168.220.15,192.168.200.255,53.0,526386793,2,74,2,......,0,3915
2017-04-07 14:58:12.397880688,UDP,192.168.220.9,192.168.200.255,137.0,92955,1017200,743244671,1,......,0,3915
2017-04-05 13:34:48.850328298,UDP,192.168.200.9,DNS,53.0,91,2,74,2,......,0,1101
2017-04-05 13:34:48.854987485,TCP,192.168.200.9,14645_180,443.0,630,5,1295,7,.AP.S.,0,1101
2017-04-06 06:01:42.226716854,UDP,192.168.220.12,DNS,53.0,59,2,878,2,......,0,1862
2017-04-06 06:01:42.235661752,UDP,192.168.220.6,DNS,53.0,73232,1,782,2,......,0,1862
2017-04-06 06:01:42.237966937,UDP,192.168.220.12,DNS,53.0,246,2,258,1,......,0,1862
2017-04-06 06:01:42.243212497,UDP,192.168.220.15,DNS,53.0,75,1,2018,2,......,0,1862
2017-04-06 06:01:42.249720826,UDP,192.168.220.15,DNS,53.0,4240,2,3078,2,......,5,1862
2017-04-06 06:01:42.305554388,UDP,192.168.220.6,DNS,53.0,665,2,75,2,......,5,1862
2017-04-06 06:01:42.312928463,UDP,192.168.220.6,DNS,53.0,2066,1,789,1,......,0,1862
2017-04-06 06:01:42.346554586,UDP,192.168.220.6,DNS,53.0,3082,1,109,1,......,0,1862
2017-04-06 06:01:42.351759949,UDP,192.168.220.15,DNS,53.0,3631,2,4163,2,......,0,1862
2017-04-06 06:01:42.417492848,UDP,192.168.220.15,DNS,53.0,3221,2,3788,2,......,376277,1862
2017-04-06 06:01:42.425196823,UDP,192.168.220.15,DNS,53.0,182965637,2,1097,2,......,7,1862
2017-04-06 11:08:28.391884941,UDP,192.168.200.4,DNS,53.0,93,1,1839,2,......,309987,2039
2017-04-06 11:08:28.396611021,UDP,192.168.200.4,DNS,53.0,250,2,176,2,......,0,2039
2017-04-06 11:08:28.432971866,UDP,192.168.220.15,DNS,53.0,698,1,1949,1,......,0,2039
2017-04-06 11:08:28.482908189,UDP,192.168.220.15,DNS,53.0,297,1,1208519060,1,......,1153,2039
2017-04-06 11:08:28.488387019,UDP,192.168.220.13,DNS,53.0,530,1,174,1,......,0,2039
2017-04-06 14:23:36.392430867,UDP,192.168.220.12,DNS,53.0,0,1,84,1,......,0,2447
2017-04-06 14:23:36.551147021,UDP,192.168.220.12,192.168.220.12,53.0,216,0,168,1,......,5,2447
2017-04-06 14:23:37.144535867,UDP,192.168.220.12,DNS,53.0,210,1,162,1,......,0,2447
2017-04-06 14:23:37.147697961,UDP,192.168.220.12,192.168.220.12,53.0,211,2,1093,2,......,65,2447
2017-04-09 12:58:19.987886552,UDP,192.168.220.5,10026_204,1900.0,365,1,831,2,......,5,5099
2017-04-09 12:58:19.992224407,UDP,192.168.220.11,192.168.220.5,53.0,5057,1,147,2,......,13622,5099
2017-04-09 12:58:21.684586296,UDP,192.168.220.11,DNS,53.0,372,1,822,1,......,326500,5099
2017-04-09 12:58:25.464059759,UDP,192.168.220.5,192.168.220.11,53.0,386,2,148,2,......,19,5099
2017-04-05 07:56:07.176967467,TCP,192.168.200.4,EXT_SERVER,8082.0,204,1,347,2,.AP...,0,100
2017-04-05 07:56:07.190049665,TCP,192.168.220.7,EXT_SERVER,8082.0,197,1,330,2,.AP...,0,100
2017-04-07 09:22:50.093573134,TCP,192.168.200.5,EXT_SERVER,8082.0,201,1,426,1,.AP...,0,3246
2017-04-07 09:22:50.188324671,TCP,192.168.220.7,EXT_SERVER,8082.0,208,1,326,1,.AP...,0,3246
2017-04-07 19:21:00.768191099,UDP,192.168.210.4,192.168.220.255,137.0,0,0,92,1,......,0,4393
2017-04-07 19:21:01.019254732,UDP,192.168.220.9,192.168.210.4,445.0,0,0,1647068239,1,......,0,4393
2017-04-07 19:22:19.199079684,UDP,192.168.220.7,192.168.220.255,445.0,0,0,1055973784,2,......,0,4393
2017-04-11 14:25:40.261701251,UDP,192.168.220.10,192.168.100.255,137.0,0,0,92,1,......,0,7403
2017-04-11 14:25:40.937014941,TCP,192.168.220.10,10006_132,443.0,0,0,1921,5,.AP.S.,65,7403
2017-04-11 14:25:41.446533293,UDP,192.168.100.3,192.168.100.255,138.0,0,0,243,2,......,0,7403
2017-04-11 14:25:47.676753419,UDP,192.168.220.10,192.168.100.255,137.0,0,0,91,2,......,0,7403
2017-04-11 14:25:47.678800258,TCP,192.168.220.7,10006_132,443.0,0,0,1900,5,.AP.S.,0,7403
2017-04-05 12:15:26.143335462,UDP,192.168.100.5,DNS,53.0,2115,1,73,1,......,0,767
2017-04-05 12:15:28.585604564,UDP,192.168.100.5,192.168.100.5,53.0,516,2,9825,2,......,0,767
2017-04-05 12:15:28.786782003,UDP,192.168.100.5,DNS,53.0,373,1,92,1,......,0,767
2017-04-05 12:15:28.800408750,UDP,192.168.100.5,192.168.100.5,53.0,11419,1,81,1,......,5,767
2017-04-07 15:50:42.990387740,UDP,192.168.220.15,DNS,53.0,360,1,8786,1,......,0,4076
2017-04-07 15:50:43.306201592,UDP,192.168.220.15,192.168.220.15,53.0,82,2,8964,2,......,0,4076
2017-04-07 15:50:43.651795413,UDP,192.168.220.15,192.168.220.15,53.0,507,1,151,2,......,0,4076
2017-04-07 15:50:43.659288707,UDP,192.168.220.15,DNS,53.0,353,1,154,2,......,0,4076
2017-04-08 08:27:06.891376902,UDP,192.168.210.5,192.168.100.5,138.0,0,0,245,2,......,0,4555
2017-04-08 08:27:06.918417586,UDP,192.168.220.4,192.168.100.5,138.0,0,0,234,1,......,0,4555
2017-04-08 08:27:07.504303701,UDP,192.168.210.5,192.168.220.4,137.0,0,0,92,2,......,0,4555
2017-04-08 08:27:07.512214247,UDP,192.168.210.5,192.168.100.5,445.0,1048976661,552820,2462332302,2,......,142578,4555
